# deck: Portuguese::Frequency Master
# notetype: Portuguese (EP) – Frequency
# separator: Tab
Rank	Lemma_PT	POS	Gloss_EN	Variety	Register_Flags	Range_Blocks	Raw_Freq	Example_PT	Example_EN	Freq_Band	Thematic_Source	Tags
2	de	prp	of, from 100 | 490080 +a +s	EP				José mostrou ser uma pessoa de mau 7 um at a,one carácter	José showed himself to be a • ocoração é um músculo – The heart is a person of bad character. muscle. 100 | 1691442 100 | 388580	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
3	em	prp	in, on	EP						0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
5	graus	na		EP				acendam-se as lanternas, quero lume. [EP]	vertical – Currently, the tower leans 5.5 Light the lanterns, I want light. degrees from the vertical. 41 | 422+f +s -a -n 41 | 423+f -n -s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
5	que	cj	that, than, what	EP				opresidente anunciou que os Estados 10 aprp to, at Unidos colocariam um satélite em órbita	• depois fomos a Belém ver as estátuas – The president announced that the United Afterwards, we went to Bethlehem to see the States would put a satellite into orbit. statues. 100 | 516122 +s 100 | 215837	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::cj
6	ser	v	to be (norm)	EP				eu fui o único filho que ingressou na • osangue é o fluido responsável pela faculdade	Iwas the only child to enroll in circulação dos nutrientes –Blood is the college. fluid responsible for the circulation of 100| 1675835 nutrients.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
8	por	prp	by, through, for	EP				acidade foi fundada em 573	The city was • ocomunismo foi professado por Marx e founded in 573. Engels – Communism was professed by Marx 100 | 641637 and Engels. 100 | 22	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
9	para	prp	to, for, in order to Sibéria – In 1902, he was arrested and sent	EP				as informações são comprimidas para serem to Siberia. transmitidas	The information is com- 100 | 560304 pressed to be sent. 100 | 204357	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
11	não	av	no, not 24 oucj or, either	EP				não faça isso não	No, do not do that. • se me reconhecerá ou não, isso se verá – 100 | 196535 We will see whether he will recognize me or not.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::av
12	com	prp	with 100 | 66158	EP				comeu pão com manteiga	He ate bread with butter.	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::prp
13	ter	v	tohave young man in shock. He, however, continued	EP				oseu programa teve um enorme sucesso	on. His program had enormous success. 100 | 66177 +s 100 | 147062 +s	0001-0500		freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
