Rank,Lemma_PT,POS,Gloss_EN,Variety,Register_Flags,Range_Blocks,Raw_Freq,Example_PT,Example_EN,Freq_Band,Thematic_Source,Tags
51,dia,nm,day,EP,,,,anova lei garante os mesmos direitos • no estabelecimento do velho trabalhavam jurídicos e sociais aos casais homossexuais noite e dia,"In the old man’s store, they –The new law guarantees the same judicial worked day and night. and social rights to homosexual couples. 100 | 30068 100 | 35492 +s",0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
162,voltar,v,to return,EP,,,,oproblema é mais grave,"The problem is • quando voltou para casa, fechou-se no worse. quarto – When he returned home, he shut 100 | 9974 +s himself in his room. 99 | 11078",0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
174,considerar,v,to consider,EP,,,,ao lavar as mãos ele olhava-se no espelho e,,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
221,brasileiro,na,Brazilian,EP,,,,refiro-me às diferenças sociais marcadas pelo • ofutebol brasileiro surpreendeu o mundo na fosso que separa ricos e pobres,Copa de 1970 – Brazilian soccer surprised Iamreferring to the social differences the world in the 1970 World Cup. marked by the gap that separates the rich 99 | 7980 +s from the poor.,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
319,animal,nm,animal 97 | 7200 +s,EP,,,,"Entretanto, outros animais tão ferozes",e,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
354,militar,na,"military, soldier 97 |",EP,,,,,,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
427,porta,nf,door understanding,EP,,,,opai fechou a porta da rua,The father • este estudo leva a um melhor conhecimento closed the door to the street. da estrutura interna da Terra – This study 96 | 6939 leads to a better understanding of the,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
505,quarto,na,"room, bedroom, fourth groups interest us.",EP,,,,transformámos a saleta de estar em quarto 98 | 2110 +s de dormir,We transformed the living room,0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::na
517,interessar,v,"to interest, concern twenties, maybe thirty.",EP,,,,apenas nos interessam os melhores grupos 98 | 2550 +s de investigação,Only the best investigative,0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::verb
598,fugir,v,"to flee, run away",EP,,,,,,0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::verb
876,religioso,na,religious (person),EP,,,,,,0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::na
996,ouro,nm,gold of wine.,EP,,,,"éuma excelente cavaleira, tendo ganho uma 88 | 1588 +s medalha de ouro","She is an excellent rider,",0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::noun.masc
1130,enviar,v,tosend,EP,,,,,,1001-1500,,freq::1001-1500 freq500::1001-1500 freq1000::1001-1500 pos::verb
